name	type	country	administered_by	location	year_est	year_closed	display_year_est	display_year_closed	status	notes	auto_tooltip	lat	lon	size
BerthelotIslands		Tourism			2010	2011						-65.2	-64.9	0
BiscoeBay		Tourism			2010	2011						-64.48	-63.49	0
BiscoePoint		Tourism			2010	2011						-64.49	-63.49	0
BismarckStrait		Tourism			2010	2011						-64.51	-64	10,715
BlaiklockIsland		Tourism			2010	2011						-67.33	-67.4	76
BlindBay		Tourism			2010	2011						-67.31	-66.31	0
BongrainPoint		Tourism			2010	2011						-67.43	-67.48	648
BorgenBay		Tourism			2010	2011						-64.45	-63.3	0
BotanyBay		Tourism			2010	2011						-63.41	-57.53	0
BourgeoisFjord		Tourism			2010	2011						-67.4	-67.5	0
BoydStrait		Tourism			2010	2011						-62.5	-62	0
BrabantIsland		Tourism			2010	2011						-64.15	-62.2	308
BransfieldStrait		Tourism			2010	2011						-63	-59	4,240
BreakwaterIsland		Tourism			2010	2011						-64.48	-63.14	0
BrialmontCove		Tourism			2010	2011						-64.15	-60.58	0
BriandFjord		Tourism			2010	2011						-65.2	63.4	0
BrownBluff		Tourism			2010	2011						-63.32	-56.55	8,703
BrownsonIslands		Tourism			2010	2011						-74.1	-103.36	0
BrydeIsland		Tourism			2010	2011						-64.52	-63.2	0
BulsBay		Tourism			2010	2011						-64.23	-62.19	0
ButlerPassage		Tourism			2010	2011						-64.58	-63.44	1,839
CapeAdare		Tourism			2010	2011						-71.17	170.14	399
CapeBird		Tourism			2010	2011						-77.9	166.42	0
CapeColbeck		Tourism			2010	2011						-77.7	-158.1	0
CapeCrozier		Tourism			2010	2011						-77.31	169.24	0
CapeDenison		Tourism			2010	2011						-67	142.4	0
CapeEvans		Tourism			2010	2011						-77.38	166.24	410
CapeHallett		Tourism			2010	2011						-72.19	170.16	116
CapeHerschel		Tourism			2010	2011						-64.4	-61.2	0
CapeLookout		Tourism			2010	2011						-61.16	-55.12	805
CapeRoyds		Tourism			2010	2011						-77.32	-166.8	384
CapeSobral		Tourism			2010	2011						-64.34	-59.33	0
CapeTuxen		Tourism			2010	2011						-65.16	-64.8	47
CapeValentine		Tourism			2010	2011						-61.6	-54.39	0
CarlssonBay		Tourism			2010	2011						-64.24	-58.04	0
CarrollInlet		Tourism			2010	2011						-73.18	-78.3	0
CenturionGlacier		Tourism			2010	2011						-68.12	-66.55	0
CharcotBay		Tourism			2010	2011						-63.48	-59.31	0
CharcotIsland		Tourism			2010	2011						-69.57	-75.25	0
CharlotteBay		Tourism			2010	2011						-64.33	-61.39	351
ChiloéPoint		Tourism			2010	2011						-65.31	-63.58	0
ChiriguanoBay		Tourism			2010	2011						-64.28	-62.31	0
CiervaCove		Tourism			2010	2011						-64.9	-60.53	2,464
CockburnIsland		Tourism			2010	2011						-64.12	-56.51	284
ColbeckBay		Tourism			2010	2011						-71.37	170.4	0
CollinsBay		Tourism			2010	2011						-65.21	-64.4	0
CombRidge		Tourism			2010	2011						-63.55	-57.28	0
ConesaPoint		Tourism			2010	2011						-64.52	-62.5	0
CoronationIsland		Tourism			2010	2011						-60.37	-45.35	214
CoulmanIsland		Tourism			2010	2011						-73.28	169.45	0
CroftBay		Tourism			2010	2011						-64	-57.45	0
CrokerPassage		Tourism			2010	2011						-64	-61.42	0
CrystalSound		Tourism			2010	2011						-66.23	-66.3	349
CurtissBay		Tourism			2010	2011						-64.2	-60.47	300
CuvervilleIsland		Tourism			2010	2011						-64.41	-62.38	29,690
D'UrvilleMonument		Tourism			2010	2011						-63.25	-56.18	252
DallmannBay		Tourism			2010	2011						-64.2	-62.55	2,428
DamoyPoint/DorianBay		Tourism			2010	2011						-64.49	-63.32	4,982
DancoIsland		Tourism			2010	2011						-64.44	-62.37	7,663
DangerIslands		Tourism			2010	2011						-63.25	-54.4	0
DebenhamIslands		Tourism			2010	2011						-68.8	-67.7	0
DeceptionIsland		Tourism			2010	2011						-62.57	-60.38	12,264
DelaiteIsland		Tourism			2010	2011						-64.33	-62.12	0
DetailleIsland		Tourism			2010	2011						-66.52	-66.48	4,024
DevilIsland		Tourism			2010	2011						-63.48	-57.17	3,224
DiscoveryBay		Tourism			2010	2011						-62.29	-59.43	97
DogsLegFjord		Tourism			2010	2011						-67.43	-66.52	0
DoumerIsland		Tourism			2010	2011						-64.51	-63.35	56
Dumontd'UrvilleStation		Tourism			2010	2011						-66.39	140	0
DuperréBay		Tourism			2010	2011						-64.27	-62.4	0
DurochIslands		Tourism			2010	2011						-63.18	-57.54	0
DuseBay		Tourism			2010	2011						-63.32	-57.15	0
DuthiersPoint		Tourism			2010	2011						-64.48	-62.49	0
EckenerPoint		Tourism			2010	2011						-64.26	-61.36	0
EdinburghHill		Tourism			2010	2011						-62.33	-60.1	67
ElephantIsland		Tourism			2010	2011						-61.1	-55.14	19,326
ElephantPoint		Tourism			2010	2011						-62.41	-60.52	0
EnglishStrait		Tourism			2010	2011						-62.27	-59.38	0
EnterpriseIsland		Tourism			2010	2011						-64.32	-62	1,928
ErebusandTerrorGulf		Tourism			2010	2011						-63.55	-56.4	626
ErreraChannel		Tourism			2010	2011						-64.42	-62.36	8,825
EzcurraInlet		Tourism			2010	2011						-62.9	-58.32	0
FalseBay		Tourism			2010	2011						-62.43	-60.22	172
FalseIsland		Tourism			2010	2011						-64.31	-62.53	0
FalseIslandPoint		Tourism			2010	2011						-63.55	-57.2	38
FergusonChannel		Tourism			2010	2011						-64.54	-62.59	414
FildesPeninsula		Tourism			2010	2011						-62.12	-58.58	0
FishIslands		Tourism			2010	2011						-66.2	-65.25	1,896
FortPoint		Tourism			2010	2011						-62.34	-59.34	47
FournierBay		Tourism			2010	2011						-64.31	-63.6	216
FoynHarbor		Tourism			2010	2011						-64.33	-62.1	0
FoynIsland		Tourism			2010	2011						-71.56	171.04	0
FranklinIsland		Tourism			2010	2011						-76.5	168.19	108
FreiStation		Tourism			2010	2011						-62.12	-58.57	1,698
FrenchPassage		Tourism			2010	2011						-65.1	-64.2	1,905
FreudPassage		Tourism			2010	2011						-64.17	-62.8	0
FridtjofSound		Tourism			2010	2011						-63.34	-56.43	843
GabrieldeCastillaStation		Tourism			2010	2011						-62.58	-60.4	0
GalindezIsland		Tourism			2010	2011						-65.15	-64.15	0
GandIsland		Tourism			2010	2011						-64.24	-62.51	0
GastonIslands		Tourism			2010	2011						-64.28	-61.5	0
GeorgeVISound		Tourism			2010	2011						-71	-68	0
GerlacheStrait		Tourism			2010	2011						-64.3	-62.2	18,007
GibbonBay		Tourism			2010	2011						-60.39	-45.11	0
GibbsIsland		Tourism			2010	2011						-61.28	-55.34	0
GirardBay		Tourism			2010	2011						-65.8	-64	315
GoudierIsland		Tourism			2010	2011						-64.5	-63.3	19,000
GourdinIsland		Tourism			2010	2011						-63.12	-57.18	255
GrahamPassage		Tourism			2010	2011						-64.24	-61.31	248
GrandidierChannel		Tourism			2010	2011						-65.35	-64.45	0
GuepratteIsland		Tourism			2010	2011						-64.3	-63	0
GuyouIslands		Tourism			2010	2011						-65.3	-63.24	0
HalfMoonIsland-ChinstrapColony		Tourism			2010	2011						-62.36	-59.55	0
HannahPoint		Tourism			2010	2011						-62.39	-60.37	2,719
HanusseBay		Tourism			2010	2011						-66.57	-67.3	0
HarryIsland		Tourism			2010	2011						-64.8	-61.59	0
HerbertSound		Tourism			2010	2011						-63.55	-57.4	0
HeroinaIsland		Tourism			2010	2011						-63.24	-54.36	180
HiddenBay		Tourism			2010	2011						-65.2	-63.46	0
HoldfastPoint		Tourism			2010	2011						-66.28	-66.21	0
HopeBay		Tourism			2010	2011						-63.23	-57	2,165
HorseshoeIsland		Tourism			2010	2011						-67.51	-67.12	740
HovgaardIsland		Tourism			2010	2011						-65.8	-64.8	2,401
HughesBay		Tourism			2010	2011						-128.27	-122.33	0
HuntIsland		Tourism			2010	2011						-64.2	-62.8	0
HutPoint		Tourism			2010	2011						-77.5	166.38	0
HydrurgaRocks		Tourism			2010	2011						-64.8	-61.37	100
JabetPeak		Tourism			2010	2011						-64.49	-63.28	0
JamesRossIsland		Tourism			2010	2011						-64.1	-57.45	14
JennyIsland		Tourism			2010	2011						-67.44	-68.24	14
JouglaPoint		Tourism			2010	2011						-64.49	-63.3	11,303
KayakBay		Tourism			2010	2011						-64.18	-62.13	0
KingGeorgeBay		Tourism			2010	2011						-62.6	-58.5	0
KinnesCove/MadderCliffs		Tourism			2010	2011						-63.18	-56.27	928
LagarrigueCove		Tourism			2010	2011						-64.39	-62.34	0
LagoonIsland		Tourism			2010	2011						-67.35	-68.16	0
LainezPoint		Tourism			2010	2011						-67.41	-67.49	0
LallemandFjord		Tourism			2010	2011						-67.5	-66.45	0
LapeyrèreBay		Tourism			2010	2011						-64.24	-63.15	0
LarsenInlet		Tourism			2010	2011						-64.25	-59.28	0
LaurieIsland		Tourism			2010	2011						-60.44	-44.37	0
LavoisierIsland		Tourism			2010	2011						-66.12	-66.44	0
LazarevBay		Tourism			2010	2011						-69.28	-72.4	0
LecointeIsland		Tourism			2010	2011						-64.16	-62.1	0
Lefèvre-UtilePoint		Tourism			2010	2011						-64.5	-63.31	0
LeithCove		Tourism			2010	2011						-64.52	-62.5	1,651
LemaireChannel		Tourism			2010	2011						-65.4	-63.57	22,504
LemaireIsland		Tourism			2010	2011						-64.49	-62.57	0
LiardIsland		Tourism			2010	2011						-66.51	-67.25	0
LiegeIsland		Tourism			2010	2011						-64.2	-61.55	0
LindbladCove		Tourism			2010	2011						-63.51	-59.27	160
LionSound		Tourism			2010	2011						-64.4	-63.9	58
LivingstonIsland		Tourism			2010	2011						-62.36	-60.3	258
LystadBay		Tourism			2010	2011						-67.5	-67.17	0
MargueriteBay		Tourism			2010	2011						-68.3	-68.3	0
MartelInlet		Tourism			2010	2011						-62.5	-58.22	0
MathaStrait		Tourism			2010	2011						-66.33	-67.26	0
MatthewIsland		Tourism			2010	2011						-60.44	-45.6	0
MaxwellBay,KingGeorgeIsland		Tourism			2010	2011						-62.15	-58.51	0
McFarlaneStrait		Tourism			2010	2011						-62.32	-59.55	295
McMurdoSound		Tourism			2010	2011						-77.31	165.1	0
McMurdoStation		Tourism			2010	2011						-77.5	166.4	0
MelchiorIslands		Tourism			2010	2011						-64.19	-62.57	5,066
MertzGlacierTongue		Tourism			2010	2011						-67.1	145.3	0
MeusnierPoint		Tourism			2010	2011						-64.32	-61.37	0
MikkelsenHarbor(D'Hainaut)		Tourism			2010	2011						-63.54	-60.47	0
MonroeIsland		Tourism			2010	2011						-60.36	-46.3	0
MoubrayBay		Tourism			2010	2011						-72.11	170.15	0
MoureauxIslands		Tourism			2010	2011						-65.5	-63.8	0
MudgePassage		Tourism			2010	2011						-66.2	-65.5	0
MurrayHarbour		Tourism			2010	2011						-64.21	-61.34	0
NansenIsland		Tourism			2010	2011						-64.35	-62.6	14
NekoHarbor		Tourism			2010	2011						-64.5	-62.33	25,264
NelsonIsland		Tourism			2010	2011						-62.18	-59.3	0
NenyFjord		Tourism			2010	2011						-68.16	-66.49	0
NeptunesBellows		Tourism			2010	2011						-63	-60.34	2,006
NeumayerChannel		Tourism			2010	2011						-64.47	-63.3	17,312
O'HigginsStation		Tourism			2010	2011						-63.19	-57.54	0
OrcadasStation		Tourism			2010	2011						-60.44	-44.44	0
OrneHarbor		Tourism			2010	2011						-64.37	-62.32	3,185
OrneIslands		Tourism			2010	2011						-64.4	-62.4	1,931
PalaverPoint		Tourism			2010	2011						-64.9	-61.45	0
PalmerStation		Tourism			2010	2011						-64.46	-64.5	0
ParadiseHarbor		Tourism			2010	2011						-64.51	-62.54	0
PatagoniaBay		Tourism			2010	2011						-64.27	-63.12	0
PauletIsland		Tourism			2010	2011						-63.35	-55.47	5,301
PeltierChannel		Tourism			2010	2011						-64.52	-63.32	1,202
PendulumCove		Tourism			2010	2011						-62.56	-60.36	1,634
PenguinIsland		Tourism			2010	2011						-62.6	-57.54	214
PenolaStrait		Tourism			2010	2011						-65.1	-64.7	452
PeterIIsland		Tourism			2010	2011						-68.47	-90.35	131
PetermannIsland		Tourism			2010	2011						-65.1	-64.1	12,982
PineIslandBay		Tourism			2010	2011						-74.5	-102.4	0
PlataPassage		Tourism			2010	2011						-64.4	-62.1	0
PleneauIsland		Tourism			2010	2011						-65.6	-64.4	0
PointWild		Tourism			2010	2011						-61.6	-54.52	2,607
PortalPoint		Tourism			2010	2011						-64.3	-61.46	1,276
PortCharcot		Tourism			2010	2011						-65.4	-64	5,326
PortFoster		Tourism			2010	2011						-62.57	-60.39	699
PossessionIsland		Tourism			2010	2011						-71.52	-171.12	0
PotterCove		Tourism			2010	2011						-62.14	-58.42	0
PourquoiPasIsland		Tourism			2010	2011						-67.41	-67.28	0
PresidentHead		Tourism			2010	2011						-62.44	-61.12	0
PrinceGustavChannel		Tourism			2010	2011						-63.5	-58.15	0
ProspectPoint		Tourism			2010	2011						-66.1	-65.21	2,738
RabotPoint		Tourism			2010	2011						-64.16	-57.18	0
RecessCove		Tourism			2010	2011						-64.3	-61.32	0
RedRockRidge		Tourism			2010	2011						-68.18	-67.8	0
RobertPoint		Tourism			2010	2011						-62.28	-59.23	148
RobertsonIsland		Tourism			2010	2011						-65.1	-59.37	0
RomanFourPromontory		Tourism			2010	2011						-68.13	-66.56	0
RongeIsland/GeorgesPoint		Tourism			2010	2011						-64.43	-62.41	246
RongeIsland/KerrPoint		Tourism			2010	2011						-64.42	-62.37	246
RongeIslandKetleyPoint		Tourism			2010	2011						-64.42	-62.46	246
RossIceShelf		Tourism			2010	2011						-81.3	-175	294
RossSea		Tourism			2010	2011						-75	-175	0
RotheraStation		Tourism			2010	2011						-67.34	-68.7	0
SablePinnacles		Tourism			2010	2011						-64.4	-62.34	0
SadlerPoint		Tourism			2010	2011						-64.42	-62.4	0
SalmonBay		Tourism			2010	2011						-77.55	164.33	0
SalvesenCove		Tourism			2010	2011						-64.24	-61.2	0
SandefjordBay		Tourism			2010	2011						-60.37	-46.3	0
SanMartinStation		Tourism			2010	2011						-68.7	-67.6	0
SchollaertChannel		Tourism			2010	2011						-64.18	-62.3	0
SealIslands		Tourism			2010	2011						-60.34	-55.14	0
ShingleCove		Tourism			2010	2011						-60.39	-45.34	125
ShroveCove		Tourism			2010	2011						-63.59	-57.5	0
SiffreyPoint		Tourism			2010	2011						-63.13	-57.13	0
SignyIslandStation		Tourism			2010	2011						-66.55	-67.1	0
SimsIsland		Tourism			2010	2011						-73.21	-78.19	0
SipleIsland		Tourism			2010	2011						-73.39	-125	111
SjogrenInlet		Tourism			2010	2011						-64.14	-59	0
SkogBay		Tourism			2010	2011						-66.52	-66.3	0
SkontorpCove		Tourism			2010	2011						-64.54	-62.52	6,262
SkottsbergPoint		Tourism			2010	2011						-63.55	-60.49	0
SmiggersIsland		Tourism			2010	2011						-65.27	-65.19	0
SnowHillIsland-EmperorPenguinColony		Tourism			2010	2011						-64.3	-57.26	0
SnowHillIsland-IceEdgeLanding		Tourism			2010	2011						-64.28	-57.1	0
SnowHillIsland-Nordenskjold'sHut		Tourism			2010	2011						-64.28	-57.12	0
SnowIsland		Tourism			2010	2011						-62.47	-61.23	0
SouthOrkneyIslands		Tourism			2010	2011						-60.35	-45.3	60
SouthShetlandIslands		Tourism			2010	2011						-62	-58	0
SpertIsland		Tourism			2010	2011						-63.51	-60.57	180
SpigotPeak		Tourism			2010	2011						-64.38	-62.34	101
StefanIcePiedmont		Tourism			2010	2011						-66.4	-66.3	0
StoningtonIsland		Tourism			2010	2011						-68.11	-67	1,003
StonyPoint		Tourism			2010	2011						-64.54	-62.55	0
StygianCove		Tourism			2010	2011						-60.4	-45.36	0
SunshineGlacier		Tourism			2010	2011						-60.39	-45.32	0
SwiftBay		Tourism			2010	2011						-64.22	-57.46	0
TayHead		Tourism			2010	2011						-63.21	-55.34	664
TaylorValley/CanadaGlacier		Tourism			2010	2011						-77.39	162.56	0
TelefonBay		Tourism			2010	2011						-62.56	-60.4	5,101
TerraFirmaIslands		Tourism			2010	2011						-68.42	-67.32	0
TheGullet		Tourism			2010	2011						-67.1	-67.38	3,018
TheNaze		Tourism			2010	2011						-63.57	-57.32	0
TrinityIsland		Tourism			2010	2011						-54	-38.1	0
TrinityPeninsula		Tourism			2010	2011						-63.37	-58.2	0
TurretPoint		Tourism			2010	2011						-62.5	-57.55	534
TuttonPoint		Tourism			2010	2011						-66.53	-67.35	0
TwoHummockIsland		Tourism			2010	2011						-64.8	-61.42	3,766
UsefulIsland		Tourism			2010	2011						-64.43	-62.52	2,724
VegaIsland		Tourism			2010	2011						-63.5	-57.25	0
VernadskyStation		Tourism			2010	2011						-65.14	-64.15	9,517
ViewPoint		Tourism			2010	2011						-63.33	-57.22	352
VortexIsland		Tourism			2010	2011						-63.44	-57.38	0
WalkerBay(byHannahPoint)		Tourism			2010	2011						-62.38	-60.42	879
WalkerPoint		Tourism			2010	2011						-61.8	-54.42	0
WaterboatPoint/GonzalezVidelaStation		Tourism			2010	2011						-64.49	-62.51	4,007
WebbIsland		Tourism			2010	2011						-67.27	-67.56	0
WeddellSea		Tourism			2010	2011						-72	-45	529
WhalersBay		Tourism			2010	2011						-62.59	-60.34	19,477
WilhelminaBay		Tourism			2010	2011						-64.38	-62.1	4,612
WinterIsland		Tourism			2010	2011						-65.15	-64.16	630
YalourIslands		Tourism			2010	2011						-65.14	-64.1	1,889
YankeeHarbor		Tourism			2010	2011						-62.32	-59.47	1,921
GerlacheStrait		Tourism			2009	2010						-64.3	-62.2	36,308
LemaireChannel		Tourism			2009	2010						-65.4	-63.57	36,232
CuvervilleIsland		Tourism			2009	2010						-64.41	-62.38	27,089
NekoHarbor		Tourism			2009	2010						-64.5	-62.33	22,259
NeumayerChannel		Tourism			2009	2010						-64.47	-63.3	21,702
GoudierIsland		Tourism			2009	2010						-64.5	-63.3	20,317
PetermannIsland		Tourism			2009	2010						-65.1	-64.1	18,801
VernadskyStation		Tourism			2009	2010						-65.14	-64.15	18,606
WhalersBay		Tourism			2009	2010						-62.59	-60.34	18,225
DallmannBay		Tourism			2009	2010						-64.2	-62.55	18,202
ElephantIsland		Tourism			2009	2010						-61.1	-55.14	17,542
DeceptionIsland		Tourism			2009	2010						-62.57	-60.38	16,602
JouglaPoint		Tourism			2009	2010						-64.49	-63.3	11,045
BransfieldStrait		Tourism			2009	2010						-63	-59	10,577
AdmiraltyBay		Tourism			2009	2010						-62.1	-58.25	10,385
ErreraChannel		Tourism			2009	2010						-64.42	-62.36	10,060
DancoIsland		Tourism			2009	2010						-64.44	-62.37	8,649
AntarcticSound		Tourism			2009	2010						-63.2	-56.45	7,490
BismarckStrait		Tourism			2009	2010						-64.51	-64	7,113
BrownBluff		Tourism			2009	2010						-63.32	-56.55	7,001
AndvordBay		Tourism			2009	2010						-64.5	-62.39	5,375
SkontorpCove		Tourism			2009	2010						-64.54	-62.52	5,374
MelchiorIslands		Tourism			2009	2010						-64.19	-62.57	5,050
PauletIsland		Tourism			2009	2010						-63.35	-55.47	4,723
PortCharcot		Tourism			2009	2010						-65.4	-64	4,703
CiervaCove		Tourism			2009	2010						-64.9	-60.53	4,412
WilhelminaBay		Tourism			2009	2010						-64.38	-62.1	4,303
DamoyPoint/DorianBay		Tourism			2009	2010						-64.49	-63.32	4,222
PointWild		Tourism			2009	2010						-61.6	-54.52	3,989
DevilIsland		Tourism			2009	2010						-63.48	-57.17	3,902
TelefonBay		Tourism			2009	2010						-62.56	-60.4	3,862
WaterboatPoint/GonzalezVidelaStation		Tourism			2009	2010						-64.49	-62.51	3,666
FreiStation		Tourism			2009	2010						-62.12	-58.57	3,287
TheGullet		Tourism			2009	2010						-67.1	-67.38	3,255
BailyHead		Tourism			2009	2010						-62.58	-60.29	2,798
YankeeHarbor		Tourism			2009	2010						-62.32	-59.47	2,789
DetailleIsland		Tourism			2009	2010						-66.52	-66.48	2,785
PenguinIsland		Tourism			2009	2010						-62.6	-57.54	2,481
FishIslands		Tourism			2009	2010						-66.2	-65.25	2,405
OrneHarbor		Tourism			2009	2010						-64.37	-62.32	2,378
PendulumCove		Tourism			2009	2010						-62.56	-60.36	2,310
YalourIslands		Tourism			2009	2010						-65.14	-64.1	2,289
HannahPoint		Tourism			2009	2010						-62.39	-60.37	2,288
UsefulIsland		Tourism			2009	2010						-64.43	-62.52	1,899
StoningtonIsland		Tourism			2009	2010						-68.11	-67	1,885
HorseshoeIsland		Tourism			2009	2010						-67.51	-67.12	1,861
GourdinIsland		Tourism			2009	2010						-63.12	-57.18	1,684
CapeLookout		Tourism			2009	2010						-61.16	-55.12	1,664
WeddellSea		Tourism			2009	2010						-72	-45	1,664
WinterIsland		Tourism			2009	2010						-65.15	-64.16	1,211
PortFoster		Tourism			2009	2010						-62.57	-60.39	1,071
PeltierChannel		Tourism			2009	2010						-64.52	-63.32	1,045
ArgentineIslandsOther		Tourism			2009	2010						-65.15	-64.16	1,027
EnterpriseIsland		Tourism			2009	2010						-64.32	-62	972
PortalPoint		Tourism			2009	2010						-64.3	-61.46	842
KinnesCove/MadderCliffs		Tourism			2009	2010						-63.18	-56.27	825
HydrurgaRocks		Tourism			2009	2010						-64.8	-61.37	733
LeithCove		Tourism			2009	2010						-64.52	-62.5	693
NeptunesBellows		Tourism			2009	2010						-63	-60.34	683
CapeValentine		Tourism			2009	2010						-61.6	-54.39	641
ShingleCove		Tourism			2009	2010						-60.39	-45.34	635
FalseBay		Tourism			2009	2010						-62.43	-60.22	626
ProspectPoint		Tourism			2009	2010						-66.1	-65.21	508
HovgaardIsland		Tourism			2009	2010						-65.8	-64.8	466
CurtissBay		Tourism			2009	2010						-64.2	-60.47	454
AstrolabeIsland		Tourism			2009	2010						-63.17	-58.4	453
CrystalSound		Tourism			2009	2010						-66.23	-66.3	411
CapeEvans		Tourism			2009	2010						-77.38	166.24	404
CapeAdare		Tourism			2009	2010						-71.17	170.14	372
GrahamPassage		Tourism			2009	2010						-64.24	-61.31	372
ErebusandTerrorGulf		Tourism			2009	2010						-63.55	-56.4	369
RobertPoint		Tourism			2009	2010						-62.28	-59.23	359
WalkerBay(byHannahPoint)		Tourism			2009	2010						-62.38	-60.42	356
CapeRoyds		Tourism			2009	2010						-77.32	-166.8	349
RedRockRidge		Tourism			2009	2010						-68.18	-67.8	320
